Uin,gender,age,device,has_interest_online,interestss_TVShows,interests_Travel,interests_Society,interests_Pets,interests_Natural,interests_Cars,interests_Foods,interests_Music,interests_Digital,interests_Life,interests_Sports,interests_Reading,interests_Childproducts,interests_Fashion,interests_Tech,interests_Entertainment,interests_Health,interests_Cartoon,interests_Finance,interests_Realestate,interests_Videogames,interests_Art,Group
e04fd11bb0dfd2c8af08e606dcc0e14,1,48,2,1,0.0,0.0,632.6927153,0.0,0.0,0.0,0.0,0.0,0.0,125.1678436,42.14078593,87.70825592,0.0,0.0,7.470608536,0.0,115.78679199999999,0.0,24.661676999999997,0.0,0.0,0.0,1
17068e9d66892a2ff93c8e8d12d0184c,1,36,2,0,5.6839226929999995,0.0,52.36812937,0.0,0.0,1.727357874,16.87228105,0.0,0.0,70.01118959,1.727306395,0.0,0.0,0.0,1.169629713,0.0,6.3717456,0.0,4.176049335,0.0,0.0,2.647601314,2
3164db7dbbf0f9f11cbfa05393c5b8e0,2,55,2,0,0.0,0.0,87.29129267,0.0,0.0,0.0,0.0,0.0,0.0,2.980985664,0.0,9.316240797,0.0,0.0,2.420483155,18.08111237,9.683679542,0.0,0.0,0.0,0.0,0.0,2
cbf0ad449be12643ee6494ba9b6649f9,1,39,2,1,0.0,2.020606571,214.2984006,0.0,0.0,3.993333525,0.0,0.0,0.0,97.1530099,0.0,97.05112313,0.0,0.0,4.622938861000001,0.0,473.93777620000003,0.0,0.0,15.22314453,0.0,0.0,0
580daa1198d8ede9d7291a40b1efc8da,2,50,2,0,0.0,3.695594713,10.72391194,0.0,0.0,0.0,2.094661904,0.0,0.0,14.017097,0.0,0.888659124,0.0,0.0,2.8190663739999997,5.4168624329999995,22.4738398,0.0,0.0,1.128333766,0.0,0.0,2
acd17a8416899fb4f2c877b110fad646,1,37,2,0,0.0,2.035017046,26.38178616,0.0,0.0,0.0,2.631364375,14.62093421,0.0,11.36062236,0.0,0.0,0.0,0.0,0.0,0.0,11.91320105,0.0,0.0,0.0,0.0,0.0,2
e8c96cfd8522cab8567cb046da184391,2,44,2,0,0.0,0.244646395,2.980421057,0.0,0.0,0.0,0.0,0.0,0.0,1.979025865,0.0,0.47311437,0.0,0.0,0.848803537,0.0,42.370523399999996,0.0,0.542307413,0.0,0.0,0.0,2
e0f4dd2ec459027f399f187c13c627d9,2,63,2,1,0.0,0.0,6.671223369,2.860720685,0.0,0.0,1.136052653,4.2533569060000005,0.0,1.721788532,0.0,3.34700595,0.0,5.449343285,0.0,0.650641289,13.40090013,0.0,0.0,0.0,0.0,0.0,2
3805ac710b1396eeffcf2587b7903fdf,1,43,2,0,0.0,1.060087271,17.38655408,0.0,0.0,0.0,1.016941847,0.0,0.0,6.179901771,0.0,0.42337429,0.0,0.0,0.0,0.0,4.681715836,0.0,0.0,0.0,0.0,2.290021335,2
d3aa4b506f304817c64c0fdfdc45c95e,2,34,2,0,0.0,2.1455086519999997,67.04923429,0.0,0.0,0.0,0.0,0.0,0.0,31.31919234,0.0,2.327256409,0.0,1.274124528,6.169411402000001,22.05247843,33.49826152,0.0,0.0,1.4933590559999999,0.0,0.0,0
