user,click,like,age,gender,friend_cnt,sns_like_cnt,sns_comment_cnt,pre_click,treat
224,0,0,17,1,244,201,144,0,0
225,0,0,31,1,165,39,30,0,1
226,0,0,23,1,282,185,231,0,1
229,0,0,31,1,327,60,31,0,0
231,0,1,34,2,499,377,455,0,0
232,0,0,27,2,326,111,179,0,0
233,0,0,28,2,179,57,21,0,1
234,0,0,24,2,192,60,322,0,1
235,0,0,27,1,470,30,778,0,1
237,0,0,25,1,652,64,279,0,1
238,0,0,29,2,325,21,128,0,0
239,0,0,26,2,503,77,330,0,1
244,0,0,18,1,183,34,70,0,0
246,0,0,35,1,320,120,156,0,0
247,0,0,29,2,352,131,378,0,0
248,0,0,33,2,438,201,483,0,1
249,0,0,31,1,388,120,97,0,1
250,0,0,19,2,218,102,226,0,0
251,0,0,28,2,758,411,1209,0,1
252,0,0,33,2,149,173,231,0,0
253,0,0,37,2,300,45,58,0,0
254,0,0,28,1,276,47,81,0,0
255,0,0,31,1,106,30,32,0,0
256,0,0,21,2,261,78,51,0,0
257,0,0,27,1,172,76,125,0,0
258,0,0,33,2,196,44,59,0,1
259,0,0,23,1,94,92,397,0,0
261,1,0,27,1,462,34,143,1,0
262,0,0,46,2,797,274,64,0,0
263,0,0,26,1,402,55,138,0,1
264,0,0,20,2,201,31,82,1,0
266,0,0,27,1,196,102,65,0,0
267,0,0,26,1,235,42,17,0,1
269,0,0,25,2,188,144,181,0,1
270,0,0,38,2,1132,239,221,0,1
271,0,0,20,2,188,37,28,0,1
274,0,0,20,2,149,284,110,0,1
275,0,0,19,1,347,55,30,0,0
276,0,0,33,2,73,57,106,0,0
279,0,0,23,1,441,110,125,0,1
280,0,0,31,2,376,422,188,1,1
283,0,0,24,2,175,31,126,0,1
284,0,0,28,2,498,311,649,0,0
286,0,0,31,1,656,58,144,0,0
287,0,0,20,2,230,55,159,0,1
289,0,0,34,1,395,324,303,0,0
293,0,0,22,2,540,52,218,1,0
295,0,0,26,2,191,44,97,0,0
296,0,0,21,2,213,45,90,1,1
298,0,0,26,2,339,25,97,0,1
299,0,1,28,2,670,240,215,0,0
301,0,0,23,2,174,249,111,0,0
303,0,0,23,1,302,44,61,0,0
304,1,0,19,2,133,242,90,1,0
305,0,0,24,1,152,59,87,0,0
306,0,0,24,2,406,78,74,0,0
307,0,0,34,2,213,55,183,0,0
308,0,0,24,1,246,57,134,0,0
311,0,0,23,1,378,55,64,0,1
313,0,0,24,1,99,37,34,0,1
314,0,0,28,1,673,152,50,0,0
315,0,0,24,1,96,22,32,0,1
317,0,0,30,1,161,48,37,0,0
320,0,0,26,2,388,178,217,0,1
321,0,0,27,1,455,44,6,0,0
322,0,0,35,1,83,46,33,0,1
323,0,0,27,2,186,85,129,0,0
324,0,0,23,1,272,43,75,0,0
326,0,0,35,2,173,98,71,0,1
327,0,0,22,2,256,109,218,0,1
328,0,0,22,2,231,101,122,0,0
330,0,0,21,2,373,897,474,0,0
332,0,0,19,2,236,108,69,0,1
336,0,0,27,1,98,12,24,0,1
337,0,0,30,1,557,35,180,0,1
340,0,0,32,1,259,33,112,0,0
341,0,0,32,2,368,96,350,0,0
342,0,0,26,1,181,90,195,0,1
344,0,0,22,2,353,415,223,0,0
345,0,0,27,2,416,76,146,0,0
346,0,0,21,2,411,254,222,0,1
347,0,0,32,2,382,65,43,0,1
348,0,0,19,2,165,86,131,0,1
349,0,0,27,2,168,120,424,0,0
350,0,0,25,2,254,44,37,0,1
352,0,0,26,1,414,153,130,0,0
353,0,0,33,1,120,97,59,0,0
355,0,0,32,2,138,55,34,0,0
358,0,0,28,1,420,335,54,0,0
359,1,0,26,2,222,123,133,1,1
360,0,0,30,2,163,51,88,0,1
364,0,0,31,1,289,69,75,0,1
366,0,0,26,2,266,91,80,0,0
367,0,0,24,1,737,114,193,0,1
368,0,0,20,2,90,33,112,0,0
369,0,0,23,1,213,76,259,0,1
370,0,0,24,2,174,23,47,0,0
373,0,0,30,1,157,49,33,0,0
374,0,0,26,2,419,128,380,0,0
377,0,0,27,1,104,52,16,0,0
378,0,0,21,1,324,492,313,0,1
379,0,0,26,2,670,163,65,0,1
382,0,0,27,2,162,88,208,0,0
383,0,0,29,1,322,26,36,0,0
384,0,0,31,2,276,65,34,0,0
385,0,0,30,2,460,76,145,0,1
387,0,0,30,2,317,178,256,0,0
388,0,0,36,2,415,141,313,0,0
390,0,0,33,2,214,42,308,0,1
391,0,0,33,1,603,89,99,0,0
392,0,0,21,1,363,117,84,0,0
394,0,0,47,2,814,469,313,0,1
397,0,0,40,2,395,123,138,0,1
398,0,0,24,1,275,110,169,0,1
400,0,0,23,2,143,55,42,0,0
402,0,0,21,1,324,32,138,0,0
403,0,0,31,1,169,38,13,0,1
404,0,0,27,1,217,45,36,0,1
405,0,0,36,2,526,142,144,0,0
406,0,0,22,2,183,73,22,0,1
407,0,1,30,2,184,33,279,0,0
408,0,0,26,2,160,22,50,0,0
409,1,0,26,2,345,79,43,1,0
411,0,0,18,1,279,392,174,0,0
414,0,0,27,1,146,62,101,0,0
415,0,0,31,2,381,196,396,0,0
416,0,0,29,2,512,56,221,0,0
417,0,0,15,1,553,61,242,0,1
418,0,0,24,1,737,84,150,0,0
419,0,0,22,2,208,122,186,0,0
420,0,0,29,1,365,76,212,0,0
421,0,0,29,2,575,40,138,0,1
422,0,0,25,1,592,371,537,0,1
423,0,0,27,1,4203,103,89,0,0
424,0,0,29,2,251,23,161,0,0
425,0,0,23,2,3327,28,21,0,1
426,0,1,30,1,157,25,64,0,1
427,0,0,26,1,683,128,244,0,0
429,0,0,24,1,675,105,293,0,1
431,0,0,24,1,328,48,71,0,0
433,0,0,27,1,443,78,60,1,1
434,0,0,32,2,293,127,939,0,1
435,0,0,37,2,197,142,243,0,0
436,0,0,31,1,171,24,49,0,0
437,0,0,32,1,570,122,93,0,1
438,0,0,37,2,336,116,306,0,0
